subject,verb,score,modality,test,trial_order,session,type,cloze,wmc,prod_pre,rec_pre
2,perform,1,FTF,priming2,5,session2,prime,28,71,1,5
2,print,1,FTF,priming2,7,session2,prime,28,71,1,5
2,post,1,FTF,priming2,9,session2,prime,28,71,1,5
2,bake,1,FTF,priming2,15,session2,prime,28,71,1,5
2,pick,1,FTF,priming2,21,session2,prime,28,71,1,5
2,staple,1,FTF,priming2,23,session2,prime,28,71,1,5
2,deposit,1,FTF,priming2,25,session2,prime,28,71,1,5
2,have,1,FTF,priming2,27,session2,prime,28,71,1,5
2,park,1,FTF,priming2,31,session2,prime,28,71,1,5
2,stretch,1,FTF,priming2,33,session2,prime,28,71,1,5
2,fill,1,FTF,priming2,35,session2,prime,28,71,1,5
2,send,1,FTF,priming1,20,session1,non-prime,28,71,1,5
4,boil,0,FTF,priming1,17,session1,prime,40,87,0,5
4,drink,0,FTF,priming1,23,session1,prime,40,87,0,5
4,bring,0,FTF,priming2,2,session2,non-prime,40,87,0,5
4,wash,0,FTF,priming2,17,session2,prime,40,87,0,5
4,cross,0,FTF,priming2,22,session2,non-prime,40,87,0,5
4,grow,0,FTF,priming1,2,session1,non-prime,40,87,0,5
4,buy,0,FTF,priming1,4,session1,non-prime,40,87,0,5
4,use,0,FTF,priming1,6,session1,non-prime,40,87,0,5
4,sing,0,FTF,priming1,7,session1,prime,40,87,0,5
4,burn,0,FTF,priming1,10,session1,non-prime,40,87,0,5
4,pet,0,FTF,priming1,12,session1,non-prime,40,87,0,5
4,need,0,FTF,priming1,14,session1,non-prime,40,87,0,5
4,cut,0,FTF,priming1,15,session1,prime,40,87,0,5
4,push,0,FTF,priming1,16,session1,non-prime,40,87,0,5
4,read,0,FTF,priming1,18,session1,non-prime,40,87,0,5
4,send,0,FTF,priming1,20,session1,non-prime,40,87,0,5
4,watch,0,FTF,priming1,21,session1,prime,40,87,0,5
4,wear,0,FTF,priming1,22,session1,non-prime,40,87,0,5
4,shake,0,FTF,priming1,24,session1,non-prime,40,87,0,5
4,insert,0,FTF,priming1,26,session1,non-prime,40,87,0,5
4,turn,0,FTF,priming1,28,session1,non-prime,40,87,0,5
4,sprinkle,0,FTF,priming1,30,session1,non-prime,40,87,0,5
4,show,0,FTF,priming1,32,session1,non-prime,40,87,0,5
4,swipe,0,FTF,priming1,34,session1,non-prime,40,87,0,5
4,wipe,0,FTF,priming1,35,session1,prime,40,87,0,5
4,carry,0,FTF,priming2,4,session2,non-prime,40,87,0,5
4,catch,0,FTF,priming2,6,session2,non-prime,40,87,0,5
4,drive,0,FTF,priming2,10,session2,non-prime,40,87,0,5
4,clean,0,FTF,priming2,11,session2,prime,40,87,0,5
4,peel,0,FTF,priming2,12,session2,non-prime,40,87,0,5
4,choose,0,FTF,priming2,13,session2,prime,40,87,0,5
4,lift,0,FTF,priming2,14,session2,non-prime,40,87,0,5
4,drink,0,FTF,priming2,18,session2,non-prime,40,87,0,5
4,decorate,0,FTF,priming2,20,session2,non-prime,40,87,0,5
4,move,0,FTF,priming2,24,session2,non-prime,40,87,0,5
4,rake,0,FTF,priming2,26,session2,non-prime,40,87,0,5
4,have,0,FTF,priming2,27,session2,prime,40,87,0,5
4,hit,0,FTF,priming2,28,session2,non-prime,40,87,0,5
4,raise,0,FTF,priming2,30,session2,non-prime,40,87,0,5
4,follow,0,FTF,priming2,32,session2,non-prime,40,87,0,5
4,stretch,0,FTF,priming2,33,session2,prime,40,87,0,5
4,pass,0,FTF,priming2,36,session2,non-prime,40,87,0,5
4,hang,0,FTF,priming1,1,session1,prime,40,87,0,5
4,display,0,FTF,priming1,3,session1,prime,40,87,0,5
4,select,0,FTF,priming1,5,session1,prime,40,87,0,5
4,brush,0,FTF,priming1,8,session1,non-prime,40,87,0,5
4,organize,0,FTF,priming1,9,session1,prime,40,87,0,5
4,stack,0,FTF,priming1,11,session1,prime,40,87,0,5
4,toast,0,FTF,priming1,13,session1,prime,40,87,0,5
4,store,0,FTF,priming1,19,session1,prime,40,87,0,5
4,pour,0,FTF,priming1,25,session1,prime,40,87,0,5
4,measure,0,FTF,priming1,27,session1,prime,40,87,0,5
4,mix,0,FTF,priming1,29,session1,prime,40,87,0,5
4,cook,0,FTF,priming1,31,session1,prime,40,87,0,5
4,put,0,FTF,priming1,33,session1,prime,40,87,0,5
4,vacuum,0,FTF,priming2,1,session2,prime,40,87,0,5
4,study,0,FTF,priming2,3,session2,prime,40,87,0,5
4,perform,0,FTF,priming2,5,session2,prime,40,87,0,5
4,print,0,FTF,priming2,7,session2,prime,40,87,0,5
4,polish,0,FTF,priming2,8,session2,non-prime,40,87,0,5
4,post,0,FTF,priming2,9,session2,prime,40,87,0,5
4,bake,0,FTF,priming2,15,session2,prime,40,87,0,5
4,fly,0,FTF,priming2,16,session2,non-prime,40,87,0,5
4,type,0,FTF,priming2,19,session2,prime,40,87,0,5
4,pick,0,FTF,priming2,21,session2,prime,40,87,0,5
4,deposit,0,FTF,priming2,25,session2,prime,40,87,0,5
4,park,0,FTF,priming2,31,session2,prime,40,87,0,5
4,fill,0,FTF,priming2,35,session2,prime,40,87,0,5
4,ride,1,FTF,priming2,34,session2,non-prime,40,87,0,5
4,keep,1,FTF,priming1,36,session1,non-prime,40,87,0,5
4,staple,1,FTF,priming2,23,session2,prime,40,87,0,5
4,take,1,FTF,priming2,29,session2,prime,40,87,0,5
5,bring,0,FTF,priming2,2,session2,non-prime,35,46,0,6
5,catch,0,FTF,priming2,6,session2,non-prime,35,46,0,6
5,fly,0,FTF,priming2,16,session2,non-prime,35,46,0,6
5,buy,0,FTF,priming1,4,session1,non-prime,35,46,0,6
5,use,0,FTF,priming1,6,session1,non-prime,35,46,0,6
5,burn,0,FTF,priming1,10,session1,non-prime,35,46,0,6
5,pet,0,FTF,priming1,12,session1,non-prime,35,46,0,6
5,need,0,FTF,priming1,14,session1,non-prime,35,46,0,6
5,push,0,FTF,priming1,16,session1,non-prime,35,46,0,6
5,read,0,FTF,priming1,18,session1,non-prime,35,46,0,6
5,send,0,FTF,priming1,20,session1,non-prime,35,46,0,6
5,wear,0,FTF,priming1,22,session1,non-prime,35,46,0,6
5,insert,0,FTF,priming1,26,session1,non-prime,35,46,0,6
5,measure,0,FTF,priming1,27,session1,prime,35,46,0,6
5,sprinkle,0,FTF,priming1,30,session1,non-prime,35,46,0,6
5,show,0,FTF,priming1,32,session1,non-prime,35,46,0,6
5,wipe,0,FTF,priming1,35,session1,prime,35,46,0,6
5,polish,0,FTF,priming2,8,session2,non-prime,35,46,0,6
5,drive,0,FTF,priming2,10,session2,non-prime,35,46,0,6
5,peel,0,FTF,priming2,12,session2,non-prime,35,46,0,6
5,lift,0,FTF,priming2,14,session2,non-prime,35,46,0,6
5,wash,0,FTF,priming2,17,session2,prime,35,46,0,6
5,drink,0,FTF,priming2,18,session2,non-prime,35,46,0,6
5,type,0,FTF,priming2,19,session2,prime,35,46,0,6
5,decorate,0,FTF,priming2,20,session2,non-prime,35,46,0,6
5,rake,0,FTF,priming2,26,session2,non-prime,35,46,0,6
5,have,0,FTF,priming2,27,session2,prime,35,46,0,6
5,hit,0,FTF,priming2,28,session2,non-prime,35,46,0,6
5,raise,0,FTF,priming2,30,session2,non-prime,35,46,0,6
5,follow,0,FTF,priming2,32,session2,non-prime,35,46,0,6
5,pass,0,FTF,priming2,36,session2,non-prime,35,46,0,6
5,hang,0,FTF,priming1,1,session1,prime,35,46,0,6
5,grow,0,FTF,priming1,2,session1,non-prime,35,46,0,6
5,display,0,FTF,priming1,3,session1,prime,35,46,0,6
5,sing,0,FTF,priming1,7,session1,prime,35,46,0,6
5,brush,0,FTF,priming1,8,session1,non-prime,35,46,0,6
5,organize,0,FTF,priming1,9,session1,prime,35,46,0,6
5,stack,0,FTF,priming1,11,session1,prime,35,46,0,6
5,toast,0,FTF,priming1,13,session1,prime,35,46,0,6
5,boil,0,FTF,priming1,17,session1,prime,35,46,0,6
5,drink,0,FTF,priming1,23,session1,prime,35,46,0,6
5,shake,0,FTF,priming1,24,session1,non-prime,35,46,0,6
5,pour,0,FTF,priming1,25,session1,prime,35,46,0,6
5,turn,0,FTF,priming1,28,session1,non-prime,35,46,0,6
5,mix,0,FTF,priming1,29,session1,prime,35,46,0,6
5,cook,0,FTF,priming1,31,session1,prime,35,46,0,6
5,swipe,0,FTF,priming1,34,session1,non-prime,35,46,0,6
5,keep,0,FTF,priming1,36,session1,non-prime,35,46,0,6
5,vacuum,0,FTF,priming2,1,session2,prime,35,46,0,6
5,carry,0,FTF,priming2,4,session2,non-prime,35,46,0,6
5,print,0,FTF,priming2,7,session2,prime,35,46,0,6
5,post,0,FTF,priming2,9,session2,prime,35,46,0,6
5,clean,0,FTF,priming2,11,session2,prime,35,46,0,6
5,cross,0,FTF,priming2,22,session2,non-prime,35,46,0,6
5,staple,0,FTF,priming2,23,session2,prime,35,46,0,6
5,move,0,FTF,priming2,24,session2,non-prime,35,46,0,6
5,take,0,FTF,priming2,29,session2,prime,35,46,0,6
5,park,0,FTF,priming2,31,session2,prime,35,46,0,6
5,stretch,0,FTF,priming2,33,session2,prime,35,46,0,6
5,fill,0,FTF,priming2,35,session2,prime,35,46,0,6
5,select,1,FTF,priming1,5,session1,prime,35,46,0,6
5,study,1,FTF,priming2,3,session2,prime,35,46,0,6
5,perform,1,FTF,priming2,5,session2,prime,35,46,0,6
5,choose,1,FTF,priming2,13,session2,prime,35,46,0,6
5,bake,1,FTF,priming2,15,session2,prime,35,46,0,6
5,ride,1,FTF,priming2,34,session2,non-prime,35,46,0,6
5,cut,1,FTF,priming1,15,session1,prime,35,46,0,6
5,store,1,FTF,priming1,19,session1,prime,35,46,0,6
5,watch,1,FTF,priming1,21,session1,prime,35,46,0,6
5,put,1,FTF,priming1,33,session1,prime,35,46,0,6
5,pick,1,FTF,priming2,21,session2,prime,35,46,0,6
5,deposit,1,FTF,priming2,25,session2,prime,35,46,0,6
6,organize,0,FTF,priming1,9,session1,prime,33,68,0,14
6,burn,0,FTF,priming1,10,session1,non-prime,33,68,0,14
6,stack,0,FTF,priming1,11,session1,prime,33,68,0,14
6,pet,0,FTF,priming1,12,session1,non-prime,33,68,0,14
6,toast,0,FTF,priming1,13,session1,prime,33,68,0,14
6,push,0,FTF,priming1,16,session1,non-prime,33,68,0,14
6,store,0,FTF,priming1,19,session1,prime,33,68,0,14
6,insert,0,FTF,priming1,26,session1,non-prime,33,68,0,14
6,turn,0,FTF,priming1,28,session1,non-prime,33,68,0,14
6,mix,0,FTF,priming1,29,session1,prime,33,68,0,14
6,sprinkle,0,FTF,priming1,30,session1,non-prime,33,68,0,14
6,swipe,0,FTF,priming1,34,session1,non-prime,33,68,0,14
6,print,0,FTF,priming2,7,session2,prime,33,68,0,14
6,fly,0,FTF,priming2,16,session2,non-prime,33,68,0,14
6,wash,0,FTF,priming2,17,session2,prime,33,68,0,14
6,staple,0,FTF,priming2,23,session2,prime,33,68,0,14
6,grow,0,FTF,priming1,2,session1,non-prime,33,68,0,14
6,display,0,FTF,priming1,3,session1,prime,33,68,0,14
6,buy,0,FTF,priming1,4,session1,non-prime,33,68,0,14
6,use,0,FTF,priming1,6,session1,non-prime,33,68,0,14
6,need,0,FTF,priming1,14,session1,non-prime,33,68,0,14
6,boil,0,FTF,priming1,17,session1,prime,33,68,0,14
6,read,0,FTF,priming1,18,session1,non-prime,33,68,0,14
6,send,0,FTF,priming1,20,session1,non-prime,33,68,0,14
6,watch,0,FTF,priming1,21,session1,prime,33,68,0,14
6,wear,0,FTF,priming1,22,session1,non-prime,33,68,0,14
6,drink,0,FTF,priming1,23,session1,prime,33,68,0,14
6,shake,0,FTF,priming1,24,session1,non-prime,33,68,0,14
6,pour,0,FTF,priming1,25,session1,prime,33,68,0,14
6,measure,0,FTF,priming1,27,session1,prime,33,68,0,14
6,show,0,FTF,priming1,32,session1,non-prime,33,68,0,14
6,catch,0,FTF,priming2,6,session2,non-prime,33,68,0,14
6,polish,0,FTF,priming2,8,session2,non-prime,33,68,0,14
6,drive,0,FTF,priming2,10,session2,non-prime,33,68,0,14
6,peel,0,FTF,priming2,12,session2,non-prime,33,68,0,14
6,lift,0,FTF,priming2,14,session2,non-prime,33,68,0,14
