subject,verb,score,binary_score,Modality,test,trial_order,Session,Type,typingSpeed,Cloze,WMC,rec_pre,prod_pre,rec_pre_1_2
4,turn,2,0,FTF,priming1,28,session1,non-prime,43.9,40,87,5,0,5
4,sprinkle,2,0,FTF,priming1,30,session1,non-prime,43.9,40,87,5,0,5
4,show,2,0,FTF,priming1,32,session1,non-prime,43.9,40,87,5,0,5
4,swipe,2,0,FTF,priming1,34,session1,non-prime,43.9,40,87,5,0,5
4,wipe,2,0,FTF,priming1,35,session1,prime,43.9,40,87,5,0,5
4,carry,2,0,FTF,priming2,4,session2,non-prime,43.9,40,87,5,0,5
4,catch,2,0,FTF,priming2,6,session2,non-prime,43.9,40,87,5,0,5
4,drive,2,0,FTF,priming2,10,session2,non-prime,43.9,40,87,5,0,5
4,clean,2,0,FTF,priming2,11,session2,prime,43.9,40,87,5,0,5
4,peel,2,0,FTF,priming2,12,session2,non-prime,43.9,40,87,5,0,5
4,choose,2,0,FTF,priming2,13,session2,prime,43.9,40,87,5,0,5
4,lift,2,0,FTF,priming2,14,session2,non-prime,43.9,40,87,5,0,5
4,drink,2,0,FTF,priming2,18,session2,non-prime,43.9,40,87,5,0,5
4,decorate,2,0,FTF,priming2,20,session2,non-prime,43.9,40,87,5,0,5
4,move,2,0,FTF,priming2,24,session2,non-prime,43.9,40,87,5,0,5
4,rake,2,0,FTF,priming2,26,session2,non-prime,43.9,40,87,5,0,5
4,have,2,0,FTF,priming2,27,session2,prime,43.9,40,87,5,0,5
4,hit,2,0,FTF,priming2,28,session2,non-prime,43.9,40,87,5,0,5
4,raise,2,0,FTF,priming2,30,session2,non-prime,43.9,40,87,5,0,5
4,follow,2,0,FTF,priming2,32,session2,non-prime,43.9,40,87,5,0,5
4,stretch,2,0,FTF,priming2,33,session2,prime,43.9,40,87,5,0,5
4,pass,2,0,FTF,priming2,36,session2,non-prime,43.9,40,87,5,0,5
4,hang,4,0,FTF,priming1,1,session1,prime,43.9,40,87,5,0,5
4,display,4,0,FTF,priming1,3,session1,prime,43.9,40,87,5,0,5
4,select,4,0,FTF,priming1,5,session1,prime,43.9,40,87,5,0,5
4,brush,4,0,FTF,priming1,8,session1,non-prime,43.9,40,87,5,0,5
4,organize,4,0,FTF,priming1,9,session1,prime,43.9,40,87,5,0,5
4,stack,4,0,FTF,priming1,11,session1,prime,43.9,40,87,5,0,5
4,toast,4,0,FTF,priming1,13,session1,prime,43.9,40,87,5,0,5
4,store,4,0,FTF,priming1,19,session1,prime,43.9,40,87,5,0,5
4,pour,4,0,FTF,priming1,25,session1,prime,43.9,40,87,5,0,5
4,measure,4,0,FTF,priming1,27,session1,prime,43.9,40,87,5,0,5
4,mix,4,0,FTF,priming1,29,session1,prime,43.9,40,87,5,0,5
4,cook,4,0,FTF,priming1,31,session1,prime,43.9,40,87,5,0,5
4,put,4,0,FTF,priming1,33,session1,prime,43.9,40,87,5,0,5
4,vacuum,4,0,FTF,priming2,1,session2,prime,43.9,40,87,5,0,5
4,study,4,0,FTF,priming2,3,session2,prime,43.9,40,87,5,0,5
4,perform,4,0,FTF,priming2,5,session2,prime,43.9,40,87,5,0,5
4,print,4,0,FTF,priming2,7,session2,prime,43.9,40,87,5,0,5
4,polish,4,0,FTF,priming2,8,session2,non-prime,43.9,40,87,5,0,5
4,post,4,0,FTF,priming2,9,session2,prime,43.9,40,87,5,0,5
4,bake,4,0,FTF,priming2,15,session2,prime,43.9,40,87,5,0,5
4,fly,4,0,FTF,priming2,16,session2,non-prime,43.9,40,87,5,0,5
4,type,4,0,FTF,priming2,19,session2,prime,43.9,40,87,5,0,5
4,pick,4,0,FTF,priming2,21,session2,prime,43.9,40,87,5,0,5
4,deposit,4,0,FTF,priming2,25,session2,prime,43.9,40,87,5,0,5
4,park,4,0,FTF,priming2,31,session2,prime,43.9,40,87,5,0,5
4,fill,4,0,FTF,priming2,35,session2,prime,43.9,40,87,5,0,5
4,ride,9,1,FTF,priming2,34,session2,non-prime,43.9,40,87,5,0,5
4,keep,10,1,FTF,priming1,36,session1,non-prime,43.9,40,87,5,0,5
4,staple,10,1,FTF,priming2,23,session2,prime,43.9,40,87,5,0,5
4,take,10,1,FTF,priming2,29,session2,prime,43.9,40,87,5,0,5
5,bring,1,0,FTF,priming2,2,session2,non-prime,45.13,35,46,6,0,6
5,catch,1,0,FTF,priming2,6,session2,non-prime,45.13,35,46,6,0,6
