subject,verb,score,binary_score,new_score,mod_score,rescale_score,priming_amount,group,modality,condition,test,trial_order,test_order,rec_pre,typingSpeed,cloze,WMC1,WMC2,rec_pre_1_2
47,harvest,0,0,0,0,1,0,control,CMC,controlCMC,prod1,2,post2,4,30.44,23,39,62,4
47,learn,0,0,0,0,1,0,control,CMC,controlCMC,prod1,7,post2,4,30.44,23,39,62,4
47,hang,0,0,0,0,1,0,control,CMC,controlCMC,prod1,10,post2,4,30.44,23,39,62,4
47,take,0,0,0,0,1,0,control,CMC,controlCMC,prod1,11,post2,4,30.44,23,39,62,4
47,cook,0,0,0,0,1,0,control,CMC,controlCMC,prod1,12,post2,4,30.44,23,39,62,4
48,eat,0,0,0,0,1,0,control,FTF,controlFTF,prod3,1,a_pre,4,42.88,16,49,64,4
48,record,0,0,0,0,1,0,control,FTF,controlFTF,prod3,2,a_pre,4,42.88,16,49,64,4
48,organize,0,0,0,0,1,0,control,FTF,controlFTF,prod3,3,a_pre,4,42.88,16,49,64,4
48,display,0,0,0,0,1,0,control,FTF,controlFTF,prod3,4,a_pre,4,42.88,16,49,64,4
48,pump,0,0,0,0,1,0,control,FTF,controlFTF,prod3,6,a_pre,4,42.88,16,49,64,4
48,perform,0,0,0,0,1,0,control,FTF,controlFTF,prod3,7,a_pre,4,42.88,16,49,64,4
48,stack,0,0,0,0,1,0,control,FTF,controlFTF,prod3,8,a_pre,4,42.88,16,49,64,4
48,measure,0,0,0,0,1,0,control,FTF,controlFTF,prod3,9,a_pre,4,42.88,16,49,64,4
48,pour,0,0,0,0,1,0,control,FTF,controlFTF,prod3,10,a_pre,4,42.88,16,49,64,4
48,have,0,0,0,0,1,0,control,FTF,controlFTF,prod3,11,a_pre,4,42.88,16,49,64,4
48,wipe,0,0,0,0,1,0,control,FTF,controlFTF,prod3,12,a_pre,4,42.88,16,49,64,4
48,harvest,0,0,0,0,1,0,control,FTF,controlFTF,prod1,2,post1,4,42.88,16,49,64,4
48,cover,0,0,0,0,1,0,control,FTF,controlFTF,prod1,3,post1,4,42.88,16,49,64,4
48,shave,0,0,0,0,1,0,control,FTF,controlFTF,prod1,4,post1,4,42.88,16,49,64,4
48,lose,0,0,0,0,1,0,control,FTF,controlFTF,prod1,5,post1,4,42.88,16,49,64,4
48,put,0,0,0,0,1,0,control,FTF,controlFTF,prod1,6,post1,4,42.88,16,49,64,4
48,learn,0,0,0,0,1,0,control,FTF,controlFTF,prod1,7,post1,4,42.88,16,49,64,4
48,change,0,0,0,0,1,0,control,FTF,controlFTF,prod1,8,post1,4,42.88,16,49,64,4
48,receive,0,0,0,0,1,0,control,FTF,controlFTF,prod1,9,post1,4,42.88,16,49,64,4
48,hang,0,0,0,0,1,0,control,FTF,controlFTF,prod1,10,post1,4,42.88,16,49,64,4
48,take,0,0,0,0,1,0,control,FTF,controlFTF,prod1,11,post1,4,42.88,16,49,64,4
48,cook,0,0,0,0,1,0,control,FTF,controlFTF,prod1,12,post1,4,42.88,16,49,64,4
48,set,0,0,0,0,1,0,control,FTF,controlFTF,prod2,1,post2,4,42.88,16,49,64,4
48,hear,0,0,0,0,1,0,control,FTF,controlFTF,prod2,5,post2,4,42.88,16,49,64,4
49,eat,0,0,0,0,1,0,control,CMC,controlCMC,prod3,1,a_pre,6,47.71,28,63,83,6
49,record,0,0,0,0,1,0,control,CMC,controlCMC,prod3,2,a_pre,6,47.71,28,63,83,6
49,organize,0,0,0,0,1,0,control,CMC,controlCMC,prod3,3,a_pre,6,47.71,28,63,83,6
49,display,0,0,0,0,1,0,control,CMC,controlCMC,prod3,4,a_pre,6,47.71,28,63,83,6
49,wash,0,0,0,0,1,0,control,CMC,controlCMC,prod3,5,a_pre,6,47.71,28,63,83,6
49,pump,0,0,0,0,1,0,control,CMC,controlCMC,prod3,6,a_pre,6,47.71,28,63,83,6
49,perform,0,0,0,0,1,0,control,CMC,controlCMC,prod3,7,a_pre,6,47.71,28,63,83,6
49,stack,0,0,0,0,1,0,control,CMC,controlCMC,prod3,8,a_pre,6,47.71,28,63,83,6
49,measure,0,0,0,0,1,0,control,CMC,controlCMC,prod3,9,a_pre,6,47.71,28,63,83,6
49,pour,0,0,0,0,1,0,control,CMC,controlCMC,prod3,10,a_pre,6,47.71,28,63,83,6
49,have,0,0,0,0,1,0,control,CMC,controlCMC,prod3,11,a_pre,6,47.71,28,63,83,6
49,wipe,0,0,0,0,1,0,control,CMC,controlCMC,prod3,12,a_pre,6,47.71,28,63,83,6
49,set,0,0,0,0,1,0,control,CMC,controlCMC,prod2,1,post1,6,47.71,28,63,83,6
49,select,0,0,0,0,1,0,control,CMC,controlCMC,prod2,2,post1,6,47.71,28,63,83,6
49,mount,0,0,0,0,1,0,control,CMC,controlCMC,prod2,3,post1,6,47.71,28,63,83,6
49,study,0,0,0,0,1,0,control,CMC,controlCMC,prod2,4,post1,6,47.71,28,63,83,6
49,hear,0,0,0,0,1,0,control,CMC,controlCMC,prod2,5,post1,6,47.71,28,63,83,6
49,cut,0,0,0,0,1,0,control,CMC,controlCMC,prod2,7,post1,6,47.71,28,63,83,6
49,store,0,0,0,0,1,0,control,CMC,controlCMC,prod2,8,post1,6,47.71,28,63,83,6
49,boil,0,0,0,0,1,0,control,CMC,controlCMC,prod2,9,post1,6,47.71,28,63,83,6
49,vacuum,0,0,0,0,1,0,control,CMC,controlCMC,prod2,10,post1,6,47.71,28,63,83,6
49,scrub,0,0,0,0,1,0,control,CMC,controlCMC,prod2,11,post1,6,47.71,28,63,83,6
49,drink,0,0,0,0,1,0,control,CMC,controlCMC,prod2,12,post1,6,47.71,28,63,83,6
49,park,0,0,0,0,1,0,control,CMC,controlCMC,prod1,1,post2,6,47.71,28,63,83,6
49,harvest,0,0,0,0,1,0,control,CMC,controlCMC,prod1,2,post2,6,47.71,28,63,83,6
49,cover,0,0,0,0,1,0,control,CMC,controlCMC,prod1,3,post2,6,47.71,28,63,83,6
49,shave,0,0,0,0,1,0,control,CMC,controlCMC,prod1,4,post2,6,47.71,28,63,83,6
49,lose,0,0,0,0,1,0,control,CMC,controlCMC,prod1,5,post2,6,47.71,28,63,83,6
49,put,0,0,0,0,1,0,control,CMC,controlCMC,prod1,6,post2,6,47.71,28,63,83,6
49,learn,0,0,0,0,1,0,control,CMC,controlCMC,prod1,7,post2,6,47.71,28,63,83,6
49,change,0,0,0,0,1,0,control,CMC,controlCMC,prod1,8,post2,6,47.71,28,63,83,6
49,receive,0,0,0,0,1,0,control,CMC,controlCMC,prod1,9,post2,6,47.71,28,63,83,6
49,hang,0,0,0,0,1,0,control,CMC,controlCMC,prod1,10,post2,6,47.71,28,63,83,6
49,take,0,0,0,0,1,0,control,CMC,controlCMC,prod1,11,post2,6,47.71,28,63,83,6
49,cook,0,0,0,0,1,0,control,CMC,controlCMC,prod1,12,post2,6,47.71,28,63,83,6
50,measure,0,0,0,0,1,0,control,CMC,controlCMC,prod3,9,a_pre,4,30.31,22,55,75,4
50,set,0,0,0,0,1,0,control,CMC,controlCMC,prod2,1,post1,4,30.31,22,55,75,4
50,select,0,0,0,0,1,0,control,CMC,controlCMC,prod2,2,post1,4,30.31,22,55,75,4
50,mount,0,0,0,0,1,0,control,CMC,controlCMC,prod2,3,post1,4,30.31,22,55,75,4
50,study,0,0,0,0,1,0,control,CMC,controlCMC,prod2,4,post1,4,30.31,22,55,75,4
50,hear,0,0,0,0,1,0,control,CMC,controlCMC,prod2,5,post1,4,30.31,22,55,75,4
50,store,0,0,0,0,1,0,control,CMC,controlCMC,prod2,8,post1,4,30.31,22,55,75,4
50,boil,0,0,0,0,1,0,control,CMC,controlCMC,prod2,9,post1,4,30.31,22,55,75,4
50,vacuum,0,0,0,0,1,0,control,CMC,controlCMC,prod2,10,post1,4,30.31,22,55,75,4
50,scrub,0,0,0,0,1,0,control,CMC,controlCMC,prod2,11,post1,4,30.31,22,55,75,4
50,park,0,0,0,0,1,0,control,CMC,controlCMC,prod1,1,post2,4,30.31,22,55,75,4
50,harvest,0,0,0,0,1,0,control,CMC,controlCMC,prod1,2,post2,4,30.31,22,55,75,4
50,cover,0,0,0,0,1,0,control,CMC,controlCMC,prod1,3,post2,4,30.31,22,55,75,4
50,shave,0,0,0,0,1,0,control,CMC,controlCMC,prod1,4,post2,4,30.31,22,55,75,4
50,put,0,0,0,0,1,0,control,CMC,controlCMC,prod1,6,post2,4,30.31,22,55,75,4
50,learn,0,0,0,0,1,0,control,CMC,controlCMC,prod1,7,post2,4,30.31,22,55,75,4
50,change,0,0,0,0,1,0,control,CMC,controlCMC,prod1,8,post2,4,30.31,22,55,75,4
50,receive,0,0,0,0,1,0,control,CMC,controlCMC,prod1,9,post2,4,30.31,22,55,75,4
50,hang,0,0,0,0,1,0,control,CMC,controlCMC,prod1,10,post2,4,30.31,22,55,75,4
50,take,0,0,0,0,1,0,control,CMC,controlCMC,prod1,11,post2,4,30.31,22,55,75,4
50,cook,0,0,0,0,1,0,control,CMC,controlCMC,prod1,12,post2,4,30.31,22,55,75,4
52,cover,0,0,0,0,1,0,control,CMC,controlCMC,prod1,3,a_pre,12,41.21,31,67,83,18
52,shave,0,0,0,0,1,0,control,CMC,controlCMC,prod1,4,a_pre,12,41.21,31,67,83,18
52,take,0,0,0,0,1,0,control,CMC,controlCMC,prod1,11,a_pre,12,41.21,31,67,83,18
52,cook,0,0,0,0,1,0,control,CMC,controlCMC,prod1,12,a_pre,12,41.21,31,67,83,18
126,park,0,0,0,0,1,0,control,CMC,controlCMC,prod1,1,a_pre,5,38.71,11,30,67,5
126,harvest,0,0,0,0,1,0,control,CMC,controlCMC,prod1,2,a_pre,5,38.71,11,30,67,5
126,shave,0,0,0,0,1,0,control,CMC,controlCMC,prod1,4,a_pre,5,38.71,11,30,67,5
126,put,0,0,0,0,1,0,control,CMC,controlCMC,prod1,6,a_pre,5,38.71,11,30,67,5
